"순번","노선명(도로명)","도로종류","도로기능","도로규모","도로폭","시도구도구분"
"3299","도봉로69길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3300","도봉로71가길","일반도로","국지도로","소로","6m미만","구도"
"3301","도봉로71길","일반도로","국지도로","소로","6m미만","구도"
"3302","도봉로72길","일반도로","국지도로","소로","6m미만","구도"
"3303","도봉로73길","일반도로","국지도로","소로","6m미만","구도"
"3304","도봉로76가길","일반도로","국지도로","소로","6m미만","구도"
"3305","도봉로76길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3306","도봉로77길","일반도로","국지도로","소로","6m미만","구도"
"3307","도봉로78길","일반도로","국지도로","소로","6m미만","구도"
"3308","도봉로8길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3309","도봉로81길","일반도로","국지도로","소로","6m미만","구도"
"3310","도봉로82길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3311","도봉로83길","일반도로","국지도로","소로","6m미만","구도"
"3312","도봉로85길","일반도로","국지도로","소로","6m미만","구도"
"3313","도봉로87길","일반도로","국지도로","소로","6m미만","구도"
"3314","도봉로89길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3315","도봉로95길","일반도로","국지도로","소로","6m미만","구도"
"3316","도봉로96가길","일반도로","국지도로","소로","6m미만","구도"
"3317","도봉로96길","일반도로","국지도로","소로","6m미만","구도"
"3318","도봉로96나길","일반도로","국지도로","소로","6m미만","구도"
