"순번","노선명(도로명)","도로종류","도로기능","도로규모","도로폭","시도구도구분"
"3516","독산로2길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3517","독산로20길","일반도로","국지도로","소로","6m미만","구도"
"3518","독산로21길","일반도로","국지도로","소로","6m미만","구도"
"3519","독산로22가길","일반도로","국지도로","소로","6m미만","구도"
"3520","독산로22길","일반도로","국지도로","소로","6m미만","구도"
"3521","독산로23길","일반도로","국지도로","소로","6m미만","구도"
"3522","독산로24가길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3523","독산로24길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3524","독산로24나길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3525","독산로24다길","일반도로","국지도로","소로","6m미만","구도"
"3526","독산로24라길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3527","독산로24마길","일반도로","국지도로","소로","6m미만","구도"
"3528","독산로25길","일반도로","국지도로","소로","6m미만","구도"
"3529","독산로26길","일반도로","국지도로","소로","6m미만","구도"
"3530","독산로27길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3531","독산로28가길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3532","독산로28길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3533","독산로28나길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3534","독산로29길","일반도로","국지도로","소로","6m미만","구도"
"3535","독산로3길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3536","독산로31길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3537","독산로32가길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3538","독산로32길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3539","독산로32나길","일반도로","국지도로","소로1류","폭10-12m","구도"
"3540","독산로32다길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3541","독산로33길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3542","독산로35가길","일반도로","국지도로","소로","6m미만","구도"
"3543","독산로35길","일반도로","국지도로","소로","6m미만","구도"
"3544","독산로36가길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3545","독산로36길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3546","독산로36나길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3547","독산로38길","일반도로","국지도로","소로","6m미만","구도"
"3548","독산로39길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3549","독산로4길","일반도로","국지도로","소로1류","폭10-12m","구도"
"3550","독산로40길","일반도로","국지도로","소로","6m미만","구도"
"3551","독산로41가길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3552","독산로41길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3553","독산로43가길","일반도로","국지도로","소로","6m미만","구도"
"3554","독산로43길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3555","독산로44가길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3556","독산로44길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3557","독산로44나길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3558","독산로44다길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3559","독산로44라길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3560","독산로45가길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3561","독산로45길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3562","독산로45나길","일반도로","국지도로","소로","6m미만","구도"
